Department,Department Code,Program Code,DRF Program,Description EN,Description FR
Federal Economic Development Agency for Southern Ontario,150,BNM09,Regional Diversification,"By bringing not-for-profit organizations and private and community partners together to build on economic advantages, the Regional Diversification program aims to respond to regional challenges and opportunities and to develop mechanisms for creating competitive and resilient communities. This program supports the long-term development of stronger, more diverse economies in southern Ontario communities through the leveraging of unique regional assets and local expertise to attract new investment and opportunities for regional economic growth and development. Funding will support projects that enhance business attraction, investment and employment opportunities in southern Ontario regions and communities; strengthen regional businesses and clusters with the goal of economic diversification and sustainability; develop and expand collaborative efforts to strengthen regional assets and competitiveness; and improve economic circumstances of communities facing distress. This program uses funding from the following transfer payment: Southern Ontario Prosperity Initiatives.","En r‚unissant les organisations … but non lucratif et des partenaires priv‚s et de la collectivit‚ afin de miser sur les avantages ‚conomiques, le programme Diversification r‚gionale vise … r‚pondre aux d‚fis et aux possibilit‚s r‚gionales et … ‚laborer des m‚canismes pour cr‚er des collectivit‚s concurrentielles et r‚silientes. Ce programme soutient le d‚veloppement … long terme d?‚conomies plus solides et plus diversifi‚es dans les collectivit‚s du Sud de l?Ontario en tirant profit d?actifs uniques et d?un savoir faire local afin d?attirer de nouveaux investissements et des possibilit‚s de croissance et de d‚veloppement ‚conomique r‚gional. Le financement appuiera les projets qui : accroissent l?attraction des entreprises, des investissements et des possibilit‚s d?emploi dans les r‚gions et les collectivit‚s du Sud de l?Ontario; renforcent les entreprises et les regroupements r‚gionaux aux fins de la diversification ‚conomique et de la durabilit‚; d‚veloppent et ‚largissent les efforts de collaboration en vue de renforcer les atouts r‚gionaux et la comp‚titivit‚; et am‚liorent les conditions ‚conomiques des collectivit‚s faisant face … une situation de d‚tresse. Ce programme puise dans des fonds tir‚s du paiement de transfert suivant : Initiatives pour la prosp‚rit‚ du Sud de l?Ontario."
Federal Economic Development Agency for Southern Ontario,150,BNM02,Commercialization Partnerships,"The Commercialization Partnerships program supports business-led partnerships with a focus on developing globally competitive products and services. Increased collaboration among businesses, post-secondary institutions and research organizations narrows the gap between innovation and commercialization. This program helps to increase the capacity of existing and emerging innovation ecosystems and the development of competitive economic clusters in southern Ontario. This program provides non-repayable contributions to post-secondary institutions and not-for-profit organizations to encourage technology transfer between research and business to help bring new ideas to market. This program uses funding from the following transfer payment: Southern Ontario Prosperity Initiatives.","Le programme Partenariats de commercialisation appuie des partenariats dirig‚s par les entreprises en mettant l?accent sur le d‚veloppement de produits et de services concurrentiels … l?‚chelle mondiale. Une collaboration accrue entre les entreprises, les ‚tablissements d?enseignement postsecondaire et les organismes de recherche r‚tr‚cit l?‚cart entre l?innovation et la commercialisation. Ce programme aide … renforcer la capacit‚ des ‚cosystŠmes d?innovation actuels et ‚mergents et l?‚laboration de grappes ‚conomiques concurrentielles dans le Sud de l?Ontario. Ce programme offre des contributions non remboursables aux ‚tablissements d?enseignement postsecondaire et aux organismes … but non lucratif afin d?encourager le transfert de la technologie entre la recherche et les affaires afin d?aider … lancer de nouvelles id‚es dans le march‚. Ce programme puise dans des fonds tir‚s du paiement de transfert suivant : Initiatives pour la prosp‚rit‚ du Sud de l?Ontario."
Federal Economic Development Agency for Southern Ontario,150,BNM06,Community Futures Program,"Rural southern Ontario continues to face persistent challenges: limited sources of capital for small and medium-sized enterprises; consistently lower economic performance than in more urban areas; a declining number of available jobs; an aging workforce; and youth out-migration. The Community Futures Program is a national program that provides funding to Community Futures Development Corporations so that they can help rural communities develop their local economies and long-term sustainability. Community Futures Development Corporations generally focus on the following four business lines: business loans, business counselling, strategic community planning and priorities, and community economic development projects. This program uses funding from the following transfer payment: Community Futures Program.","Le Sud de l?Ontario rural continue d?ˆtre confront‚ … des d‚fis persistants : sources de capital limit‚es pour les petites ou moyennes entreprises; rendement ‚conomique constamment inf‚rieur … celui des r‚gions plus urbaines; un nombre d‚croissant d?emplois disponibles; un effectif vieillissant et l?exode des jeunes. Le Programme de d‚veloppement des collectivit‚s est un programme national qui fournit un financement aux Soci‚t‚s d?aide au d‚veloppement des collectivit‚s afin qu?elles puissent aider les collectivit‚s rurales … d‚velopper leur ‚conomie et leur durabilit‚ … long terme. Les Soci‚t‚s d?aide au d‚veloppement des collectivit‚s mettent g‚n‚ralement l?accent sur les quatre secteurs d?activit‚s suivants : prˆts aux entreprises, conseils aux entreprises, priorit‚s et planification strat‚giques communautaires et projets de d‚veloppement ‚conomique des collectivit‚s. Ce programme puise dans des fonds tir‚s du paiement de transfert suivant : le Programme de d‚veloppement des collectivit‚s."
Fisheries and Oceans Canada,125,BTF01,Fisheries Management,"The Fisheries Management program administers Canada?s fisheries in consultation with Indigenous groups, federal departments, other levels of government, private industry and non-governmental stakeholders. The program promotes sustainability, allocating harvestable resources amongst Indigenous rights holders, commercial harvesters and recreational anglers. It derives authority from the Fisheries Act, Species at Risk Act and related regulations and relies on scientific assessments to develop tools such as Integrated Fisheries Management Plans and Rebuilding Plans.","Dans le cadre du Programme de gestion des pˆches, les pˆches canadiennes sont administr‚es en consultation avec les groupes autochtones, les ministŠres f‚d‚raux, d'autres ordres de gouvernement, l'industrie priv‚e et des intervenants non gouvernementaux. Le programme favorise la durabilit‚ en attribuant des ressources r‚coltables parmi les d‚tenteurs de droit autochtones, pˆcheurs commerciaux et les pˆcheurs sportifs. Il tire son autorit‚ de la Loi sur les pˆches, de la Loi sur les espŠces en p‚ril et des rŠglements connexes, et il s'appuie sur des ‚valuations scientifiques pour mettre au point des outils tels que les plans de gestion int‚gr‚e des pˆches et les plans de r‚tablissement."
Fisheries and Oceans Canada,125,BTF10,Aquaculture Science,"The objectives of the Aquaculture Science Program are to provide a strong science base to underpin regulatory, policy, and program decision-making, thereby increasing the stability and soundness of aquaculture-related decisions. Additionally, through collaborative research with the aquaculture industry, the Aquaculture Science Program helps to improve the sustainability of the industry, facilitate technology transfer and knowledge mobilization, and increase the scientific capacity of the Canadian aquaculture industry. Science for decision-making contributes to transparency and public confidence. The key activities to achieve these objectives will include: (1) providing scientifically peer-reviewed risk assessments and associated advice for key aquaculture-environment interactions, including fish health; (2) conducting targeted regulatory research in areas such as fish pest and pathogen interactions, cumulative effects, ecosystem management and interactions with wild populations; (3) providing scientific advice on the development of national standards, the development and implementation of indicators and area-based options for addressing overlapping management considerations; (4) conducting collaborative research to enhance environmental performance and to optimize cultured fish health; (5) initiating long-term far-field environmental monitoring of aquaculture impacts; and, (6) initiating long-term ecosystem-based research on aquaculture-environmental interactions.","Le Programme des sciences de l'aquaculture consiste … procurer une solide base scientifique pour appuyer la prise de d‚cisions relativement … la r‚glementation, aux politiques et aux programmes, renfor‡ant ainsi la stabilit‚ et la solidit‚ des d‚cisions li‚es … l'aquaculture. En outre, grƒce aux activit‚s de recherche effectu‚es en collaboration avec l'industrie aquacole, le Programme des sciences de l'aquaculture contribue … am‚liorer la durabilit‚ de l'industrie, facilite le transfert de technologie et la mobilisation des connaissances, et accroŒt les capacit‚s scientifiques de l'industrie aquacole canadienne. La recherche … l'appui de la prise de d‚cisions contribue … la transparence et favorise la confiance du public. Les activit‚s cl‚s permettant d?atteindre ces objectifs seront les suivantes : (1) fournir des ‚valuations des risques ayant fait l'objet d'un examen scientifique par les pairs et des avis connexes sur les principales interactions entre l'aquaculture et l'environnement, y compris la sant‚ des poissons; (2) mener des recherches r‚glementaires cibl‚es dans des domaines comme les interactions entre les parasites et les agents pathogŠnes qui affectent les poissons, les effets cumulatifs, la gestion des ‚cosystŠmes et les interactions avec les populations sauvages; (3) fournir des avis scientifiques sur l'‚laboration de normes nationales, l?‚laboration et la mise en place d'indicateurs et d'options par zone afin de g‚rer les recoupements des diff‚rentes composantes de la gestion; (4) r‚aliser des recherches concert‚es pour am‚liorer le rendement environnemental et optimiser la sant‚ des poissons d'‚levage; (5) entreprendre la surveillance environnementale des impacts de l?aquaculture … distance … long terme; (6) entamer des recherches ‚cosyst‚miques … long terme sur les interactions entre l'aquaculture et l'environnement."
Fisheries and Oceans Canada,125,BTF03,Aquaculture Management,"The goal of Aquaculture Management is to contribute to an environmentally, economically and socially sustainable Canadian aquaculture sector. To achieve that goal, the Program leads and manages the Departmental regulatory frameworks. The Program derives its regulatory mandate from the Fisheries Act and also takes a lead role in regulatory management of aquaculture in British Columbia. In all provinces and territories, DFO builds partnerships with other federal and provincial/territorial departments for coordinating and implementing regulatory frameworks and management decisions. Partnerships are also maintained with Indigenous peoples and the aquaculture industry. The Program?s regulation and policy development activities are supported by aquaculture research and peer-reviewed science advice carried out by the Department.","L'objectif de la gestion de l'aquaculture est de contribuer … la durabilit‚ du secteur de l'aquaculture canadienne sur le plan environnemental, ‚conomique et social. Pour atteindre ce but, le programme dirige et gŠre les cadres de r‚glementation du ministŠre. Le programme tire son mandat r‚glementaire de la Loi sur les pˆches et tient ‚galement un r“le de premier plan dans la gestion de la r‚glementation de l'aquaculture en Colombie-Britannique. Dans toutes les provinces et tous les territoires, le MPO ‚tablit des partenariats avec d'autres ministŠres f‚d‚raux, provinciaux et territoriaux pour coordonner et mettre en ?uvre des cadres r‚glementaires et des d‚cisions de gestion. Les partenariats sont ‚galement entretenus avec les peuples autochtones et l'industrie de l'aquaculture. Les activit‚s d'‚laboration de politiques et de rŠglements du programme sont appuy‚es par la recherche en aquaculture et les avis scientifiques examin‚s par les pairs effectu‚s par le MinistŠre."
Global Affairs Canada,126,BVB02,"Trade, Investment and International Economic Policy","Through this program, Global Affairs Canada prepares coherent, integrated, evidence-based and timely economic policy analysis and advice, in alignment with government priorities. This analysis and advice contributes to the advancement of global trade and investment opportunities, multilateral, international, regional and bilateral diplomatic initiatives, and international assistance priorities. Analysis and advice are consistent with the policies governing Canada?s presence abroad and with Canada?s international legal obligations.","Par l?interm‚diaire du programme, Affaires mondiales Canada pr‚pare en temps voulu des analyses et des conseils ‚conomiques strat‚giques et op‚rationnels coh‚rents, int‚gr‚s et fond‚s sur des donn‚es probantes qui correspondent aux priorit‚s gouvernementales. Ces analyses et conseils contribuent … faire progresser les occasions de commerce et d?investissement … l?‚chelle mondiale, les initiatives diplomatiques multilat‚rales, internationales, r‚gionales et bilat‚rales, de mˆme que les priorit‚s en matiŠre d?aide internationale. Les analyses et conseils respectent les politiques qui r‚gissent la pr‚sence du Canada … l?‚tranger et les obligations juridiques internationales du pays."
Global Affairs Canada,126,BVC03,International Business Development,"The International Business Development program delivers commercial services and advice to Canadian businesses and supports their pursuit of international business opportunities, as well as attract international students to Canada. This is primarily achieved through Canada?s Trade Commissioner Service, which helps Canadian businesses navigate export markets and connect to global value chains, and organizes sector-specific, targeted trade missions to priority markets. The program also develops the agenda for the department?s international commerce files, fosters coherence with partners, and enables our network to promote Canadian prosperity and competitiveness and client success. It has a strong measurement and results framework in place.","Le programme de d‚veloppement du commerce international offre des services et des conseils aux entreprises canadiennes, les appuie dans leur recherche de d‚bouch‚s commerciaux … l?‚chelle internationale et les aide … attirer des ‚tudiants ‚trangers au Canada. Cet objectif est principalement atteint grƒce au Service des d‚l‚gu‚s commerciaux du Canada, qui aide les entreprises du pays … naviguer dans les march‚s d?exportation et … acc‚der aux chaŒnes de valeur mondiales, et qui organise des missions commerciales ciblant des secteurs pr‚cis dans des march‚s prioritaires. En outre, le programme ‚labore les initiatives li‚es aux dossiers de commerce international du MinistŠre, encourage l?uniformit‚ avec les partenaires et permet au r‚seau du Canada de faire la promotion de la prosp‚rit‚ et de la comp‚titivit‚ du pays ainsi que du succŠs de ses clients. Le programme a mis en place un cadre de mesure et de r‚sultats solide."
Global Affairs Canada,126,BVC04,International Innovation and Investment,"Foreign direct investment is attracted to Canada through a targeted investment promotion and services plan including creation of an Invest in Canada Hub. Investor knowledge and interest in Canada is increased through outreach and events to promote Canada as a premier choice for investment. Provision of quality services to potential investors is strengthened and opportunities advanced through the Global Affairs Canada network abroad and enhancing collaboration with the broader investment partnership in Canada Canadian industry?s innovation efforts are maximized through the execution of International Science, Technology and Innovation (STI) initiatives aligned with Government of Canada STI priorities, including with the Inclusive Innovation Agenda. Canadian businesses gain increased access to international technology networks, partners and resources in knowledge-intensive, export-driven sectors, through the continued delivery of International Science, Technology & Innovation initiatives.","Le Canada attire de l?investissement direct ‚tranger par le truchement d?un plan cibl‚ de service et de promotion des investissements, y compris la cr‚ation d?Investir au Canada. Les activit‚s de diffusion et les ‚v‚nements qui visent … faire la promotion du Canada comme premier choix en matiŠre d?investissement permettent d?accroŒtre la sensibilisation et l?int‚rˆt des investisseurs envers le Canada. Le r‚seau d?Affaires mondiales Canada … l?‚tranger permet de renforcer la prestation de services de qualit‚ et de promouvoir des occasions. De plus, en favorisant la collaboration avec les partenaires d?investissement au Canada, les activit‚s de l?industrie canadienne en matiŠre d?innovation sont optimis‚es, par la r‚alisation d?initiatives en science, en technologie et en innovation qui correspondent aux priorit‚s du gouvernement du Canada … ce chapitre, y compris le Programme inclusif d?innovation. Les entreprises canadiennes ont un accŠs accru aux r‚seaux, aux ressources et aux partenaires internationaux en matiŠre de technologie dans les secteurs ax‚s sur le savoir et l?exportation par la prestation continue des initiatives internationales en science, en technologie et en innovation."
"Innovation, Science and Economic Development Canada",130,BNP01,Innovation in Business,"The Innovation in Business program makes it easier for Canadian businesses to access the support they need to research, develop and commercialize innovative processes and products. It ensures Government of Canada innovation programs are cohesive and responsive to the needs of innovators. The program administers the Strategic Innovation Fund (SIF), which brings together previous funds (Automotive Innovation Fund, Automotive Supplier Innovation Program, Strategic Aerospace and Defence Initiative, and Technology Demonstration Program), while also expanding access to other sectors such as clean technology and agri-food. It also delivers these programs: Accelerated Growth Service, to facilitate the growth of Canadian SMEs by providing client-centric, better-coordinated service delivery across the federal government; Service Strategy and Marketing, a ?one-stop-shop? for innovators and entrepreneurs to find and access programs easier and faster; Innovative Solutions Canada (ISC), to provide businesses with an opportunity to develop and validate new technologies and services in a government environment. The program supports the following departmental results: Canadian innovators have simplified access to tools and support; Canada becomes a leader in clean technologies; Canadian companies are globally competitive and achieve high growth; and Canada is a location and destination of choice for investment, growth and innovation. This program uses funding from the SIF and the ISC.","Le programme Innovation dans les entreprises permet aux entreprises canadiennes d?acc‚der plus facilement au soutien dont elles ont besoin pour faire des recherches sur des proc‚d‚s et des produits novateurs et pour les mettre au point et les commercialiser. Il permet au gouvernement du Canada de s?assurer que les programmes d?innovation sont coh‚rents et r‚pondent aux besoins des innovateurs. Le programme assure la gestion du Fonds strat‚gique pour l?innovation, qui rassemble d?anciens fonds (le Fonds d?innovation pour le secteur de l?automobile, le Programme d?innovation pour les fournisseurs du secteur de l?automobile, l?Initiative strat‚gique pour l?a‚rospatiale et la d‚fense et le Programme de d‚monstration de technologies), tout en ‚largissant l?accŠs … d?autres secteurs tels que les technologies propres et l?agroalimentaire. Il assure ‚galement la prestation des programmes suivants : le Service de croissance acc‚l‚r‚e, visant … faciliter la croissance des petites et moyennes entreprises (PME) en offrant des services mieux coordonn‚s et ax‚s sur le client … l?‚chelle du gouvernement f‚d‚ral; le groupe responsable de la strat‚gie de marketing et de prestation des services, un guichet unique o— les innovateurs et les entrepreneurs peuvent trouver des programmes et y acc‚der plus facilement et plus rapidement; le programme Solutions innovatrices Canada, qui offre aux entreprises l?occasion de mettre au point et de valider de nouvelles technologies et de nouveaux services dans un environnement gouvernemental. Le programme vient appuyer les r‚sultats minist‚riels suivantsÿ: ® Les innovateurs canadiens ont plus facilement accŠs aux outils et aux mesures de soutienÿ¯, ® Le Canada est un chef de file en matiŠre de technologies propres ¯, ® Les entreprises canadiennes sont comp‚titives … l?‚chelle mondiale et connaissent une forte croissance ¯ et ® Le Canada est une destination de choix en matiŠre d?investissement, de croissance et d?innovation ¯. Ce programme utilise les fonds du Fonds strat‚gique pour l?innovation et de Solutions innovatrices Canada."
"Innovation, Science and Economic Development Canada",130,BNP05,Digital Service,"The Digital Service Program recognises the growing need for digital innovation in the public sector, in support of a government priority on ?Improving Delivery and Quality of Government Services. It also recognises the ongoing need for improving access to relevant government information and services for Canadian businesses, in particular entrepreneurs and small and medium-sized enterprises (SMEs), to help them start and grow. The Digital Service Program aims to make ISED a leader in digital service to business, by charting a course for client-centric digital services, fostering leading-edge digital service provision to clients, modelling open government, and providing foundational digital services that support firms so they can start, connect and grow. It will do this by overseeing a digital strategy for the design and delivery of innovative, efficient and technologically enabled service and information to business. By leveraging digital innovations and making better use of data, the Digital Service Program will advance the transformation of ISED?s digital service and further the development of joined-up services in collaboration with other federal organizations and public sector jurisdictions. By understanding our clients? views on government services, and their priorities, ISED will foster an approach to delivery to achieve the greatest results, aligned with Canada?s ambitions for inclusive and sustainable economic growth.","Le programme des services num‚riques reconnaŒt le besoin croissant d?innovation num‚rique dans le secteur public afin de soutenir la priorit‚ du gouvernement consistant … ®ÿam‚liorer la prestation et la qualit‚ des services gouvernementaux ¯. Il reconnaŒt ‚galement le besoin continu d?am‚liorer l?accŠs … l?information et aux services gouvernementaux utiles aux entreprises canadiennes, en particulier les entrepreneurs et les petites et moyennes entreprises (PME) afin de les aider … d‚marrer et … croŒtre. Le programme des services num‚riques cherche … faire d?ISDE un chef de file des services num‚riques aux entreprises en tra‡ant la voie pour les services num‚riques ax‚s sur la clientŠle, en encourageant la prestation de services num‚riques performants aux clients, en mod‚lisant le gouvernement transparent et en procurant des services num‚riques fondamentaux qui soutiennent les entreprises afin qu?elles puissent d‚marrer, communiquer et croŒtre. Il y parviendra en supervisant une strat‚gie num‚rique pour la conception et la prestation aux entreprises d?information et de services novateurs, efficaces et assist‚s par des moyens technologiques. En tirant profit des innovations num‚riques et en faisant un meilleur usage des donn‚es, le programme des services num‚riques fera progresser la transformation des services num‚riques d?ISDE et la mise sur pied de services communs en collaboration avec d?autres organisations f‚d‚rales et administrations du secteur public. En comprenant la perception de nos clients des services gouvernementaux et leurs priorit‚s, ISDE encouragera une approche d?ex‚cution d?engagements pour atteindre les meilleurs r‚sultats possible, et ce, en accord avec les ambitions du Canada d?une croissance ‚conomique inclusive et durable."
"Innovation, Science and Economic Development Canada",130,BNP02,Support and Financing for Small Business,"The Support and Financing for Small Business Program provides support and financing to small and medium sized enterprises (SMEs) to help ensure Canadian companies are globally competitive and achieve high growth; provides Canadian SMEs access financing that would not otherwise be available or would be available only under less favourable terms; and aims to strengthen Canada's network of business accelerators and incubators (BAI) across the country. This program also provides oversight and challenge function for the Business Development Bank of Canada, and promotes understanding of the challenges small businesses face in adopting business practices that help them to grow and innovate. This program supports the departmental results ""Canadian companies are globally competitive and achieve high growth? and ?Canadian innovators have simplified access to tools and support? under the Companies, Investment and Growth core responsibility. This program provides loan guarantees to SMEs through the statutory program: Canada Small Business Financing Program.","Le programme d?aide et de financement des petites entreprises offre du soutien et des fonds aux petites et moyennes entreprises (PME) pour s?assurer que les entreprises canadiennes sont comp‚titives … l?‚chelle mondiale et connaissent une forte croissance, permet aux PME canadiennes d?obtenir du financement qu?elles n?auraient pas pu obtenir autrement ou qui aurait ‚t‚ offert sous des conditions moins int‚ressantes, et vise … renforcer le r‚seau canadien d?acc‚l‚rateurs et d?incubateurs d?entreprises … l?‚chelle du pays. Ce programme offre ‚galement une fonction de surveillance et de remise en question … la Banque de d‚veloppement du Canada et favorise la compr‚hension des d‚fis auxquels se heurtent les petites entreprises dans l?adoption de pratiques commerciales qui facilitent la croissance et l?innovation. Ce programme vient appuyer les r‚sultats minist‚riels ® Les entreprises canadiennes sont comp‚titives … l?‚chelle mondiale et connaissent une forte croissance ¯ et ® Les innovateurs canadiens ont plus facilement accŠs aux outils et aux mesures de soutienÿ¯ qui s?inscrivent sous la responsabilit‚ essentielle Entreprises, investissement et croissance. Ce programme offre des garanties de prˆt aux PME par l?interm‚diaire du programme l‚gislatif intitul‚ Programme de financement des petites entreprises du Canada."
"Innovation, Science and Economic Development Canada",130,BNO01,Higher Education Sector Science and Research,"The Higher Education Sector Science and Research program supports and stimulates research, talent development, research infrastructure and innovation in Canada?s post-secondary sector. The program provides analysis, advice and develops policies and programs to strengthen and maintain Canada?s knowledge foundation and research excellence. This is accomplished by supporting extramural research and development activities within the post-secondary sector; consulting and collaborating with various stakeholders such as universities and colleges, ISED Portfolio partners (i.e., the granting agencies), other science-based departments and agencies, and the private sector; and developing and administrating strategic contribution agreements with stakeholder organizations. This program supports the departmental result ?Canada has a strong knowledge foundation, built on world-leading fundamental research excellence? under the Science, Technology, Research and Commercialization core responsibility and includes the following transfer payments: Canada Foundation for Innovation, CANARIE Inc., Genome Canada, Perimeter Institute for Theoretical Physics, Post-Secondary Institutions Strategic Investment Fund, Centre for Drug Research and Development, Stem Cell Network, Institute for Quantum Computing, Canadian Institute for Advanced Research, Council of Canadian Academies, Pierre Elliot Trudeau Foundation.","Le programme de l?enseignement sup‚rieur, secteur sciences et recherche, appuie et favorise la recherche, le perfectionnement des talents, l?infrastructure de recherche et l?innovation au sein du secteur postsecondaire au Canada. Le programme offre une analyse et des conseils, et ‚labore des politiques et des programmes visant … renforcer et … maintenir la base de connaissances et l?excellence en matiŠre de recherche du Canada. Cela est rendu possible en appuyant les activit‚s extra-muros de recherche et de d‚veloppement au sein du secteur postsecondaire; en consultant les divers intervenants comme les universit‚s et les collŠges, les partenaires du portefeuille d?ISDE (les organismes subventionnaires), les autres ministŠres et organismes … vocation scientifique et le secteur priv‚, et en collaborant avec ceux-ci, et en ‚laborant et administrant des accords de contribution strat‚giques avec les organismes d?intervenants. Ce programme vient appuyer le r‚sultat minist‚riel ® Le Canada possŠde une bonne base de connaissances qui repose sur l?excellence de la recherche fondamentale de classe mondiale ¯ qui s?inscrit sous la responsabilit‚ essentielle Sciences, technologie, recherche et commercialisation, et comprend les paiements de transfert suivants : la Fondation canadienne pour l?innovation, CANARIE Inc., G‚nome Canada, l?Institut P‚rimŠtre de physique th‚orique, le Fonds d?investissement strat‚gique pour les ‚tablissements postsecondaires, le Centre pour la recherche et le d‚veloppement des m‚dicaments, le R‚seau de cellules souches, l?Institut de l?informatique quantique, l?Institut canadien de recherches avanc‚es, le Conseil des acad‚mies canadiennes, la Fondation Pierre-Elliot-Trudeau."
"Innovation, Science and Economic Development Canada",130,BNP07,Clean Technology and Clean Growth,"The Clean Technology and Clean Growth program promotes the development and commercialization of clean technology to create well-paying jobs for Canadians and enhance economic growth while helping to meet Canada?s climate change and other environmental goals. It supports Canadian clean technology firms to help them grow into global high-impact firms as part of Canada?s transition to a low-carbon economy. The Clean Growth Hub helps coordinate federal funding available to Canadian clean technology companies to fill the financing and program support gaps they face as they commercialize and scale-up, and improves service to clean technology companies across the country. The program provides evidence-based analysis and advice on clean technology in Canada and supports the development of clean technology policy, outreach, and engagement. The program also supports data collection and regular reporting to improve the Government of Canada?s ability to target policies and programs for the production and adoption of clean technology. The program supports the development and demonstration of clean technology through its oversight of Sustainable Development Technology Canada (SDTC). This program supports the departmental result ?Canada becomes a global leader in clean technologies? and ?Canadian companies are globally competitive and achieve high growth? under the Companies, Investments and Growth core responsibility and includes the following transfer payment: SDTC - SD Tech Fund?.","Le programme de technologies et croissance propres encourage l?‚laboration et la commercialisation de technologies propres afin de cr‚er des emplois bien r‚mun‚r‚s pour les Canadiens et d?am‚liorer la croissance ‚conomique, tout en contribuant au respect des objectifs gouvernementaux concernant les changements climatiques et l?environnement en g‚n‚ral. Il appuie les entreprises canadiennes de technologies propres pour les aider … devenir des entreprises dont l?impact mondial sera important dans le cadre de la transition du Canada vers une ‚conomie … faible ‚mission de carbone. Le Carrefour de la croissance propre contribuera … coordonner le financement f‚d‚ral disponible pour les entreprises canadiennes de technologies propres afin de combler les lacunes actuelles en matiŠre de financement et de soutien aux programmes auxquelles ces entreprises font face alors qu?elles commercialisent leurs produits et se d‚veloppent, et d?am‚liorer le service aux entreprises de technologies propres … l?‚chelle du pays. Le programme offre une analyse fond‚e sur des faits et des conseils en matiŠre de technologies propres au Canada, tout en soutenant la mise sur pied d?une politique sur les technologies propres ainsi qu?un programme de sensibilisation et de mobilisation … cet ‚gard. Il appuie ‚galement la collecte de donn‚es et la production r‚guliŠre de rapports afin d?am‚liorer la capacit‚ du gouvernement du Canada … cibler ses politiques et ses programmes en matiŠre de production et d?adoption de technologies propres. Le programme appuie le d‚veloppement et la d‚monstration de technologies propres par l?entremise de sa supervision de Technologies du d‚veloppement durable Canada (TDDC). Conform‚ment … la responsabilit‚ essentielle Entreprises, investissement et croissance, ce programme appuie les r‚sultats minist‚riels ® Le Canada est un chef de file mondial en matiŠre de technologies propres ¯ et ® Les entreprises canadiennes sont comp‚titives … l?‚chelle mondiale et connaissent une forte croissance ¯, et comprend le paiement de transfert suivant : le Fonds d?appui technologique au d‚veloppement durable de TDDC."
"Innovation, Science and Economic Development Canada",130,BNN04,Economic Development in Northern Ontario,"The Economic Development in Northern Ontario program promotes economic development and diversification, job creation, and sustainable, self-reliant communities in Northern Ontario. This is achieved by providing transfer payments to small- and medium-sized enterprises and not-for-profit organizations, including municipalities, municipal organizations, community development organizations and research institutions, in the following priority areas: community economic development, business growth and competitiveness, and innovation. This program uses funding from the following transfer payments: Northern Ontario Development Program, Community Futures Program, and Economic Development Initiative. This program supports the departmental result ?Canada has a highly skilled workforce that is equipped for jobs in an innovative and high-growth economy? under the People, Skills and Communities core responsibility and includes the following transfer payments: Northern Ontario Development Program, Community Futures Program, Economic Development Initiative, Canada 150 Community Infrastructure Program.","Le programme D‚veloppement ‚conomique du Nord de l?Ontario favorise le d‚veloppement ‚conomique et la diversification ainsi que la cr‚ation d?emplois, et qui encourage la pr‚sence de collectivit‚s durables et autonomes dans le Nord de l?Ontario. Pour y parvenir, des paiements de transfert sont vers‚s … des petites et moyennes entreprises et … des organismes sans but lucratif, y compris des municipalit‚s, des organismes municipaux, des organismes de d‚veloppement communautaire et des ‚tablissements de recherche, dans ces trois secteurs prioritaires : le d‚veloppement ‚conomique communautaire, la croissance et la comp‚titivit‚ des entreprises ainsi que l?innovation. Ce programme utilise des fonds provenant du transfert de paiement suivantÿ: le Programme de d‚veloppement du Nord de l?Ontario, le Programme de d‚veloppement des collectivit‚s et l?Initiative de d‚veloppement ‚conomique. Ce programme vient appuyer le r‚sultat minist‚riel ® Le Canada possŠde une main-d??uvre hautement qualifi‚e qui peut occuper des emplois dans une ‚conomie novatrice en forte croissance ¯ qui s?inscrit sous la responsabilit‚ essentielle Personnes, comp‚tences et collectivit‚s, et comprend les paiements de transfert suivants : le Programme de d‚veloppement du Nord de l?Ontario, le Programme de d‚veloppement des collectivit‚s, l?Initiative de d‚veloppement ‚conomique et le Programme d?infrastructure communautaire de Canada 150."
