Department,Department Code,Transfer Payment Program,Start Date,End Date,Type,Type of Appropriation,Fiscal Year for terms and conditions,Description,Expected Results,Fiscal year of last completed evaluation,Decision Following the results of last evaluation,Fiscal year of planned completion of next evaluation,General target recipient groups,Initiative to engage applicants and recipients,
"Innovation, Science and Economic Development Canada",130,CANARIE Inc.,1993,31/03/2020,Contribution,Voted appropriation annually through Estimates,2014-2015," Established in 1993, CANARIE is a non-profit corporation, with the major investment in its programs and activities provided by the Government of Canada. CANARIE operates and develops the backbone of Canada's advanced, high-speed research network, and facilitates and supports publicly funded research and innovation. In partnership with regional advanced networks, the CANARIE network connects Canadian research facilities, universities, educational institutions, hospitals and other science facilities as well as links them to their international peers. It is an essential tool for researchers, innovators and educators.","Enhanced opportunities for collaborative knowledge creation and innovation within Canada's research and education communities through the maintenance and development of the CANARIE Network and related tools and services.
Expansion of the research and education community's access to and utilization of the CANARIE Network and the availability of tools and programming that increase the effectiveness of its use.
Enabling the creation of innovative ICT products and services and the acceleration of their commercialization in Canada.",2014-2015," 
Renewed funding of $105 million for CANARIE was announced in Budget 2015.

Evaluation's main findings:

There is a continued need for the funding of CANARIE. CANARIE helps to address Canada's innovation gap and more specifically its large-scale research collaboration gap;
Federal support of CANARIE is consistent with the roles and responsibilities of ISED and is similar to support provided in other countries around the world;
CANARIE has generally been successful in achieving its objectives and related short-term outcomes. Over the evaluation period, it expanded and upgraded its network capabilities, increased and improved access to the network and kept up with network demand;
CANARIE has demonstrated continuing efforts to achieve efficiencies, has kept overhead costs within the maximum amount allowed, and is generally on track to meet its cost-recovery targets; and
ISED's relatively small investment in CANARIE is efficient in that it provides the necessary infrastructure to support the significantly larger total government investments in R&D.
Overall, the evaluation did not find any major issues. The evaluation provided one recommendation:

ISED should continue to monitor the implementation of CANARIE's performance measurement system to ensure that long-term outcomes are appropriately tracked to support public reporting, departmental decision-making and future evaluations.",2019-2020, CANARIE is a single recipient transfer payment program.,ISED maintains ongoing dialogue with the recipient and reviewed the Annual Business Plan and Annual Report that CANARIE submitted to monitor progress towards the achievement of expected results as well as compliance with the terms and conditions of the Contribution Agreement. A government official also attends CANARIE Board of Directors meetings as an observer.,
"Innovation, Science and Economic Development Canada",130,Centre for Drug Research and Development,01/04/2017,31/03/2019,Contribution,Voted appropriation annually through Estimates,2017-2018," The Centre for Drug Research and Development (CDRD) is a not-for-profit organization established in 2007 that works in partnership with academia, industry, government and foundations, to identify and de-risk promising discoveries in drug technology in order to stimulate increased private sector investment in the development and commercialization of related technologies. The CDRD links researchers from institutions across Canada and internationally, and provides researchers and entrepreneurs access to mentors, state-of-the-art expertise and infrastructure to facilitate drug discovery and development activities.","Expand the CDRD's reach to health researchers and entrepreneurs across Canada to accelerate drug development and commercialization.
Expand the commercial benefits gained from investments in basic health research.
Create a robust pipeline of health technologies capable of achieving commercial success",Not Applicable ? new program,Not Applicable,Not applicable,CDRD is a single recipient transfer payment program., ISED maintains an ongoing dialogue with CDRD and will review the Corporate Plan and Annual Report that CDRD will submit each year to monitor progress towards the achievement of expected results and compliance with the terms and conditions of the contribution agreement.,
"Innovation, Science and Economic Development Canada",130,Community Futures Program,1986,Ongoing,Contribution,Voted appropriation annually through Estimates,2010-2011,"The Community Futures Program (CFP) is a national program administered by ISED in Northern Ontario and the regional development agencies in the rest of Canada. The ultimate objectives of the program are to foster economic stability, growth and job creation; help create diversified and competitive local rural economies; and help build economically sustainable communities. ISED provides financial support to 24 Community Futures Development Corporations (CFDCs) in Northern Ontario, that are incorporated, not-for-profit, community-based development organizations, each governed by a local volunteer board of directors. They offer a variety of products and services to support small business growth and community economic development, including access to capital; strategic community planning and socio-economic development; support for community-based projects and special initiatives; and business information, planning and support services. ISED provides financial contributions to support the ongoing operations of individual CFDCs through either one, three or five-year agreements."," 
Expected Results:

Communities and businesses in Northern Ontario acquire the skills and capacity to respond to economic development opportunities
Communities and businesses in Northern Ontario have access to financial resources to respond to economic development opportunities
Performance Measures / Indicators:

Number of jobs created and maintained in Northern Ontario as a result of CFDC lending activities
Dollars leveraged per dollar invested by CFDCs",2014-2015,Continuation,2018-2019,"Non-profit organizations (Community Futures Organizations including locally-based CFDCs, CFDC regional networks, and the provincial association)."," ISED will continue to work collaboratively with Community Futures Organizations, including CFDCs, their regional networks and provincial associations, through various activities including outreach/liaison, capacity building, program and policy development, referrals, compliance monitoring in regard to contribution agreements and other collaborative activities.",
"Innovation, Science and Economic Development Canada",130,Regional Growth Through Innovation,18/10/2018," 
REGI ? March 31, 2023
WES-Women Entrepreneurship Fund ? March 31, 2020
WES Ecosystem Fund ? March 31, 2023","REGI ? Grant and Contribution
WES ? Contribution",Voted appropriation annually through Estimates,2018-2019,"ISED through the Federal Economic Development Initiative for Northern Ontario (FedNor) and in collaboration with other regional development agencies will deliver the REGI initiative, which builds on the objectives of the Innovation and Skills Plan. The goal of REGI is to provide streamlined, nationally consistent and yet regionally tailored support for business productivity and scale-up, particularly for small and medium-sized enterprises (SMEs) and women entrepreneurs and other underrepresented groups, and assist the

enhancement of regional industrial and technology clusters and regional innovation ecosystems. The program will provide assistance through two new program streams:

Business Scale-up and Productivity Stream (BSP): Invest in and support businesses at various stages of development, including high-growth firms to accelerate their growth and assist them in scaling up, enhance their productivity and competitiveness in both domestic and global markets.
Regional Innovation Ecosystems Stream (RIE): Create, grow and nurture inclusive regional ecosystems that support business needs and foster an entrepreneurial environment conducive to innovation, growth and competitiveness.
The WES provides nationally coordinated, regionally tailored investments to help women entrepreneurs and support regional innovation ecosystems through two program streams:

WES Ecosystem Fund: A five-year program to help non-profit, third-party organizations deliver support for women entrepreneurs and address gaps in the ecosystem.
Pilot Contribution Program (Women Entrepreneurship Fund): A two-year program that invests directly in women-owned or women-led businesses to help them grow and reach new markets.
Contributions issued under REGI may be unconditionally or conditionally repayable, or non-repayable. Contributions issued under the WES are non-repayable only."," 
Expected results include:

Businesses are adopting innovations and commercializing innovative products or services;
Regional Innovation Ecosystems are expanding the number of supported businesses; and
WES: Women entrepreneurs start and grow their businesses.",Not Applicable ? new program,Not Applicable,2024-2025,"
Incorporated for-profit companies, non-profit organizations, industry associations, post-secondary institutions, Indigenous organizations, business accelerators, incubators, women-led businesses, angel networks; social enterprises; a group of eligible recipients such as an industry association or consortium; a municipality and all other municipal-type organizations; and a federal or provincial crown corporation/ organization or any other entity created by the provincial government or a provincial department.","FedNor collaborates with its partners and engages key stakeholders in discussions regarding economic development and business growth to ensure that FedNor's investments respond to the needs of the SMEs. Key partners and stakeholders may include other levels of government, community leaders, financial institutions and private-sector organizations. Furthermore, information on the REGI initiative as well as the WES is shared with applicants and recipients through FedNor's website.",
"Innovation, Science and Economic Development Canada",130,Futurpreneur Canada,01/04/2017,31/03/2019,Non-repayable Contribution,Appropriated annually through Estimates,2018-19,"Futurpreneur Canada supports young Canadian entrepreneurs aged 18?39 who see entrepreneurship as a viable career option and want to start their own businesses but who would not typically be supported by traditional lending institutions. Futurpreneur provides loans of up to $15,000 and two years of mandatory mentoring. Futurpreneur also provides business planning support.","The expected results and outcomes of funding to Futurpreneur Canada is the creation of viable businesses by young entrepreneurs, which supports Innovation, Science and Economic Development Canada's core responsibilities to ensure that Canada's entrepreneurs represent all segments of Canadian society.

Futurpreneur Canada will collect the following performance indicators:

Number of loans;
Total value of all loans;
Number and value of loans in arrears;
Number and value of loans which have been written off;
Number of jobs created;
Number of applications received by Futurpreneur Canada;
Number of young entrepreneurs accessing mentorship;
5-year survival rate of Futurpreneur Canada businesses;
Number and percentage of young entrepreneurs offered growth information and/or support services; and
Number and percentage of Futurpreneur Canada businesses exporting.",N/A,N/A,2018-19,Young Canadian entrepreneurs from ages 18?39,"To seek out applicants for Futurpreneur's loans and mentoring programs, Futurpreneur has a website, blog, electronic newsletter, LinkedIn group (Entrepeer Hub) and toll-free telephone number. Futurpreneur is active on Facebook, Twitter, YouTube and Pinterest.

Futurpreneur holds events for young entrepreneurs (e.g., Action Entrepreneurship Canadian Summit and mentoring meetups) and it is the coordinator for Global Entrepreneurship Week events across Canada.

Futurpreneur partners with a range of organizations and institutions, including accelerators, universities, entrepreneurship organizations and small business organizations. A few of Futurpreneur's partners include MaRS, BDC, CFIB, Enactus, StartUp Canada, Communitech, and the National Angel Capital Association. Futurpreneur gets financial and/or in-kind support from and has relationships with organizations such as RBC, CIBC, TD, Scotiabank, Accenture, Deloitte, Ernst and Young, Microsoft, ClearChannel, National Post, universities and business schools, FedDev, ACOA, CanNor and NRC-IRAP.",
"Innovation, Science and Economic Development Canada",130,Genome Canada,27/03/2000,31/03/2024,Grant and Contribution,"Statutory Grant, Statutory Contribution, Appropriated annually through Estimates",2012-2013,"Genome Canada is a not-for-profit corporation that supports six independently incorporated regional Genome Centres across Canada. With the Genome Centres and other partners, Genome Canada invests in large-scale research projects, leading-edge technology platforms, and translation of research into applications, in key areas such as health, agriculture, the environment, fisheries, aquaculture, forestry, mining, and energy. Genome Canada also supports research projects aimed at studying and analyzing the ethical, environmental, economic, legal, and social issues related to genomics (GE3LS).","Increased breadth and depth of knowledge in genomics, including knowledge related to the ethical, environmental, economic, legal and social issues of genomics.

Canada has a solid base of researchers who are trained to undertake future genomics research.

The translation of research discoveries into applications in the public and private sectors leads to socio-economic benefits either directly or through development toward, for example, commercialization.

Canadian genomics research is enabled through the provision of leading-edge genomics, proteomics, metabolomics and bioinformatics technologies.

Canada's international profile and visibility in genomics research is enhanced.",2014-2015,"Budget 2016 proposed to provide $237.2 million to Genome Canada to the end of 2019?20.

The evaluation findings were positive overall with regard to the achievement of Genome Canada's expected outcomes over the five-year period (2009-10 to 2013-14).

Findings showed that Genome Canada had clearly contributed to enhancing support and capacity for genomics research in Canada in accordance with its national strategy, more specifically by focusing on priority strategic sectors and on increasing coordination, as well as through the development of highly qualified personnel (HQP) in genomics.",2019-2020, Genome Canada is a single recipient transfer payment program.,ISED maintains an ongoing dialogue with Genome Canada and reviews the Corporate Plan and Annual Report that Genome Canada submits each year to monitor progress towards the achievement of expected results and compliance with the terms and conditions of the funding agreements Government officials also attend Genome Canada Board of Directors meetings as an observer.,
"Innovation, Science and Economic Development Canada",130,Innovative Solutions Canada,,31/03/2022,Grant,Voted appropriation annually through Estimates,," 
The objectives of the program are to:

Fuel the development and adoption of technological innovation in Canada.
Grow Canadian companies through direct funding to support early stage, pre-commercial research and development, late stage prototypes, and to accelerate commercialization.
Encourage procurement from companies led by under-represented groups, such as women, Indigenous, youth, disabled individuals, LGBTQ+ and others.
Foster greater industry-research collaboration through the release of challenges for solutions that address key Government of Canada priorities.
Provide federal departments and agencies with opportunities to develop new capabilities to meet their research and development needs and thereby advance government priorities.",,,,2020-2021," 
The program is open to small businesses that:

are for profit
are incorporated in Canada (federally or provincially)
have 499 or fewer full-time equivalent (FTE) employees
have research and development activities that take place in Canada
have 50% or more of its annual wages, salaries and fees are currently paid to employees and contractors who spend the majority of their time working in Canada
have 50% or more of its FTE employees have Canada as their ordinary place of work
have 50% or more of its senior executives (Vice President and above) have Canada as their principal residence",,
"Innovation, Science and Economic Development Canada",130,Mitacs Inc.,01/04/2012,31/03/2022,Contribution,Voted appropriation annually through Estimates,2012-2013," Mitacs Inc. (Mitacs) is a not-for-profit organization dedicated to promoting high-quality research and innovation by building linkages between academia and industry, and strengthening linkages between researchers and students in Canada and abroad across all academic disciplines. Through its Accelerate program, Mitacs provides opportunities for graduate students and postdoctoral fellows to apply their expertise to business-related research challenges through four- to six-month internships with companies and not-for-profit corporations. Through its Globalink program, Mitacs provides short-term research internships in Canada for foreign senior undergraduate and/or graduate students from priority countries, short-term research internships in priority countries for Canadian senior undergraduate and/or graduate students, and graduate fellowships for top international alumni of the research internships who pursue graduate studies in Canada. Through its Elevate program, Mitacs provides postdoctoral fellows with industry-relevant research experience and training that help them develop the skills necessary to lead and manage research and development projects within industry.","Increased collaboration and knowledge transfer between academia and industry.
Increased participation of students in international research and educational opportunities.
Innovative solutions to industry challenges needs and issues.
Enhanced skills amongst participating interns, postdoctoral fellows and researchers.",2016-2017,"Renewed and expanded funding of $221 million in funding over five years for Mitacs was announced in Budget 2017.

Overall, the evaluation was positive, stating the program has contributed to investments in industrial research and development by industry partners during and after the conclusion of their Mitacs projects and that Mitacs has improved the employment prospects of its interns by providing on-the-job experience and networking opportunities. The evaluation also concluded that Mitacs responds to the ongoing need to increase Canadian innovation by using internships to facilitate linkages between academia and industry and increase international collaboration. An area for improvement was to enhance the measurement of the organization's impact on overall industry-academia collaboration in Canada.",2021-2022, Mitacs Inc. is a single recipient transfer payment program.,ISED maintains an ongoing dialogue with Mitacs and reviews the Corporate Plan and Annual Report that Mitacs submits each year to monitor progress towards the achievement of expected results and compliance with the terms and conditions of the contribution agreements. An ISED official attends Mitacs Board of Directors meetings as an observer.,
"Innovation, Science and Economic Development Canada",130,Stem Cell Network,22/07/2016,31/03/2019,Contribution,Voted appropriation annually through Estimates,2016-2017," The Stem Cell Network (SCN) is a national not-for-profit corporation dedicated to enabling the translation of stem cell research into clinical applications, commercial products and public policy. It was first established in 2001 as one of the Networks of Centres of Excellence (NCE). SCN links to 27 Canadian universities and hospitals, and international collaborators from 39 institutions in eight countries. The contribution to SCN is non-repayable.","Canada's international profile and visibility in stem cell research and clinical trials is enhanced.
Translation of stem cell research into clinical applications and commercial products.
Increase networking and collaboration among researchers from Canada and abroad.
Canada has a solid base of researchers that are trained to undertake future stem cell research.
Increased breadth and depth of knowledge related to the ethical, environmental, economic, legal and social issues of stem cells.",Not Applicable ? new program,Not Applicable,Not applicable,Stem Cell Network is a single recipient transfer payment, ISED maintains an ongoing dialogue with Stem cell Network and reviews the Corporate Plan and Annual Report that Stem Cell Network submits each year to monitor progress towards the achievement of expected results and compliance with the terms and conditions of the contribution agreement.,
"Innovation, Science and Economic Development Canada",130,Strategic Aerospace and Defence Initiative,02/04/2007,"March 31, 2023; consolidated into SIF July 5, 2017",Contribution,Voted appropriation annually through Estimates,2016-2017," 
The Strategic Aerospace and Defence Initiative (SADI) encourages the development of innovative products, processes and services; enhances the competitiveness of Canadian aerospace, defence, space and security (A&D) firms; and fosters collaboration among research institutes, universities, colleges and the private sector. SADI is a component of the government's strategy to mobilize science and technology to Canada's competitive advantage. SADI acts as a catalyst for new A&D investments by providing repayable contributions to Canadian A&D companies for strategic industrial research and pre-competitive development."," 
Expected results include:

New and innovative products, services and processes are commercialized by Canadian Businesses;
Investment in leading-edge R&D in the Canadian aerospace and defence sector; and
Collaboration between private sector and universities, colleges and affiliated research institutes.",2016-2017,Lessons learned to be considered in other programming,Not applicable,"Private sector companies in the aerospace, defence, space and security industries","ISED maintains extensive engagements with industries, businesses and associations as well as with other federal departments and agencies, providing opportunities for feedback.",
"Innovation, Science and Economic Development Canada",130,Strategic Innovation Fund,05/07/2017,Ongoing,Contribution,Voted appropriation annually through Estimates,2017-2018,"The Strategic Innovation Fundattracts and supports high-quality business investments in Canada's most dynamic and innovative sectors. This fund helps innovative businesses scale up, while supporting research and development (R&D), technology demonstration and high-growth industries.","Expected results include:

Job maintenance and creation;
Increased investments in R&D; and
Increased collaboration between universities, colleges, research institutes, non-profit and the private sector.",Not Applicable ? new program,Not Applicable,2020-2021,"Industry-related (private sector companies in all sectors), networks led by Canadian non-profit organizations and consortia led by Canadian companies","ISED maintains extensive engagements with industries, businesses and associations as well as with other federal departments and agencies, providing opportunities for feedback.",
"Innovation, Science and Economic Development Canada",130,Canada Foundation for Sustainable Development Technology,,,,,,,,,,,,,
,,Sustainable Development Technology Canada (SDTC) ? SD Tech Fund,26/03/2001,Ongoing,Contribution,Appropriated annually through Estimates,2016-17,"SDTC supports the development and demonstration of innovative Canadian technological solutions that address issues related to climate change, clean air, clean water and clean soil. This transfer payment program provides non-repayable contributions.","Annual reductions of greenhouse gases resulting from environmental technologies funded under the SD Tech Fund.
Other environmental impacts of SD Tech Fund-supported technologies.
Dollars leveraged by private and other public funders.",2012-13,"Following the last evaluation, Budget 2013, 2016 and 2017 made available $325 million, $50 million and $400 million respectively to SDTC for the SD Tech Fund.

Broadly, the last evaluation found that SDTC is meeting the mandated purpose and objectives, as set out for the SD Tech Fund.

In addition, Report 3 (Funding Clean Energy Technologies) of the 2017 Fall Reports of the Commissioner of the Environment and Sustainable Development found that SDTC had rigorous and objective processes in place to assess, approve, and monitor projects but identified some shortcomings on the documentation of their assessments. SDTC has indicated that it accepts the audit recommendation and as such will document its assessment of environmental benefits when approving projects.",2017-18,"Funding provided under the SD Tech Fund is intended to benefit firms with sustainable development technology projects, helping them make progress towards commercialization. The Fund targets all major economic sectors in Canada and is national in scope.","SDTC undertakes outreach activities to attract more eligible recipients and to improve the quality and viability of project proposals. SDTC adopts a continuous intake model, enabling applicants to apply for funding 365 days of the year and 24 hours a day. SDTC also established partnerships with the interested provinces, such as Alberta, Ontario and British Columbia.",
,,Sustainable Development Technology Canadaÿ(SDTC) for the NextGen Biofuels Fund,01/04/2007,30/09/2027,Contribution,Up-front Multi-Year Funding,," 
SDTC is managing the NextGen Biofuels Fund? (NGBF), which is designed to support up to 40% of eligible project costs to a maximum of $200 million per project for the establishment of first-of-kind, large-scale demonstration next-generation renewable fuel production facilities to encourage the future sustainability and success of renewable fuels. Next-generation renewable fuels are produced with non-conventional conversion technologies and derived from non-traditional renewable feedstocks, such as forest biomass, fast-growing grasses, and agricultural residues.

Of the $500 million** in total funding announced in Budget 2007, $200 million is statutory funding, and the remaining $300 million was made available by Parliament through a series of grants over the period 2008-09 to 2014-15. Government funding to SDTC?s NGBF is provided in equal amounts by Natural Resources Canada (NRCan) and Environment and Climate Change Canada (ECCC)**.The Fund is now valued at $225 million (the NGBF fund was originally $500 million) as $275 million in to the NGBF have been returned to the fiscal framework over multiple years due to lower than anticipated program uptake.

To date, SDTC has received payments totalling $67 million from Natural Resources Canada and Environment and Climate Change Canada.",,,,,,,
"Innovation, Science and Economic Development Canada",130,Technology Demonstration,04/09/2013,"Marchÿ31, 2024; consolidated into SIF Julyÿ5, 2017",Contribution,Voted appropriation annually through Estimates,2016-2017,"The Technology Demonstration Program (TDP) provides non-repayable contributions in support of large-scale research and development technology demonstration projects in the aerospace, defence, space and security sectors. Projects are led by an Original Equipment Manufacturer or Tier 1 integrator, collaborating with small and medium-sized enterprises (SMEs) and post-secondary institutions. Projects funded through this program are expected to be the basis for next-generation manufacturing and services in Canada. The program supports technological development in areas that have significant potential for broad-based and long-term economic benefits for Canada.","Expected results include:

Ensure a concentration of technology development in priority areas with significant potential for broad based and long-term economic benefits;
Be the basis for the next-generation of manufacturing, technical capabilities and services in Canada; and
Generate material economic benefits for Canada in the longer term.",2018-2019,Lessons learned to be considered in other programming,Not applicable,"Original Equipment Manufacturers, Tier 1 integrators, SMEs, universities, colleges, and technical research institutes carrying out work in Canada.","ISED maintains extensive engagements with industries, businesses and associations as well as with other federal departments and agencies, providing opportunities for feedback.

",
"Innovation, Science and Economic Development Canada",130,Northern Ontario Development Program,01/04/1996,Ongoing,Contribution,Voted appropriation annually through Estimates,2011-2012," The Northern Ontario Development Program (NODP) is administered by ISED. The NODP's objective is to promote economic development, economic diversification, job creation and sustainable, self-reliant communities in Northern Ontario. This is achieved by providing financial support, through transfer payments, to small and medium-sized enterprises and not-for-profit organizations, including municipalities, municipal organizations, community development organizations and research institutions, in three priority areas: community economic development, business growth and competitiveness, and innovation."," 
Expected Results:

Communities and businesses in Northern Ontario acquire the skills and capacity to respond to economic development opportunities
Communities and businesses in Northern Ontario have access to financial resources to respond to economic development opportunities
Performance Measures/Indicators:

Number of jobs created or maintained in Northern Ontario as a direct result of FedNor projects
Dollars leveraged per dollar invested in community projects in Northern Ontario",2016-2017,Continuation,2020-2021," Eligible recipients for NODP include not-for profit and for-profit organizations (small and medium-sized enterprises), including community development organizations, Indigenous organizations, municipalities and municipal organizations, First Nations and post-secondary institutions. ","ISED will continue to work collaboratively with Northern Ontario stakeholders, applicants, recipients and partners through outreach/liaison activities with communities and small and medium-sized enterprises, assistance with project development and referrals, compliance monitoring in regard to contribution agreements, and other collaborative activities with other federal departments and Ontario provincial ministries.",
"Innovation, Science and Economic Development Canada",130,Innovation Superclusters Initiative,24/05/2017,31/03/2023,Contribution,Voted appropriation annually through Estimates,2017-2018,The Innovation Superclusters Initiative (ISI) supports the acceleration of world-leading innovation superclusters in Canada that translate the country's strengths into new commercial opportunities for Canadian firms.,"Expected results include:

Number of new firms created in target area exceeds overall national average (March 31, 2023);
10% increase in the number of anchor firms in selected clusters (March 31, 2023); and
1.2 dollars leveraged for each ISI dollar invested (March 31, 2023).",Not Applicable ? new program,Not Applicable,2021-2022,"Business-led consortia of firms, post-secondary and research institutions, and innovation intermediaries","Engagement initiatives include:

Information sessions with the public and stakeholders during the ISI program intake phase; and
Ongoing communication with recipients during the ISI implementation phase.",
"Innovation, Science and Economic Development Canada",130,Technology Partnerships Canada,11/03/1996,31/12/2006,Contribution,,,"The program provided funding support for strategic research and development, and demonstration projects to produce economic, social and environmental benefits to Canadians. The terms and conditions for this program expired December 31, 2006.","Leverage of private sector R&D investment
Increased skills, knowledge and competencies in Canadian companies
Repayments recycled into program funds",,,,,,
National Research Council of Canada,228,Canada Accelerator and Incubator Program,01/10/2013,31/03/2019,Contribution,Voted appropriation annually through Estimates,2013-2014,"The CAIP is a 5-year non-repayable contribution program, aimed at establishing a critical mass of outstanding business incubators and accelerators that can develop innovative, high-growth firms, which themselves represent superior early-stage investment opportunities.","Early-stage firms have access to innovation support services.
Early-stage firms improve investment readiness.
Wealth creation in Canada.",2016-2017,Continue and pursue identified opportunities to strengthen program delivery,2018-2019,Non-profit Organizations,"CAIP supports SMEs' access to best-in-class business accelerators and incubators with the goal of helping these organizations expand their overall service offerings. Organizations were selected based on CAIP specific eligibility criteria and selection guidelines. CAIP is a direct result of extensive consultations, undertaken by Finance Canada in 2012, which revealed that, in addition to the availability of venture capital, entrepreneurs also require access to specialized innovation resources to succeed.",
National Research Council of Canada,228,"Collaborative Science, Technology and Innovation Program",01/04/2018,Ongoing,Grant and Contribution,Voted appropriation annually through Estimates,2018-2019,"The NRC will provide grant and contribution funding for investments in collaborative projects by inviting top researchers to participate to provide the necessary research expertise that does not reside within the NRC. The program is comprised of 1) NRC Collaborative Research & Development (R&D) Initiatives ? funding innovators external to the NRC to work on initiatives collaboratively with NRC scientists; 2) the Ideation Fund ? funding to encourage, test and validate transformative self-directed, exploratory research ideas, generated by NRC researchers and small teams of external collaborators; and 3) the Outreach Initiative ? funding to underpin 1) and 2) by supporting research excellence in science, technology, engineering and mathematics.","Enable new and potentially disruptive technologies to be developed with targeted recipient groups.

Strengthen collaborations across industry, academia and governmental levels to address issues of national importance related to the Canadian economy, quality of life and solutions to some of Canada's serious public policy challenges.

Create stronger innovation ecosystems in specific sectors currently experiencing gaps.",Not Applicable ? new program,Not Applicable,2022-2023 (five year cycle),"Academic organizations, small and medium-sized Enterprises (SMEs); Not-for-Profits; Canadian government departments, agencies, crown corporations, research technology organizations; international organizations; social enterprises; Indigenous governments; individuals; non-Canadian recipients.","For NRC Collaborative Research & Development Initiatives, potential collaborators, stakeholders and eligible recipients will be invited by the NRC to participate in designing the R&D focus as well as proposed projects intended to achieve outcomes for each specific initiative. External researchers will be invited to work with NRC researchers to develop a team proposal to compete for project funding. Projects will be selected against criteria that will examine: excellence, impact, collaborations, and feasibility / and probability of success.

Ideation Fund will be launched through an open call within the NRC for individuals or small teams to conduct exploratory research with collaborators. Projects will be selected against criteria that will examine: research excellence, innovation / creativity, deliverables, collaboration and feasibility.",
National Research Council of Canada,228,Industrial Research Assistance Program - Contributions to Firms,01/04/2013,Ongoing,Contribution,Voted appropriation annually through Estimates,2018-2019,"The Program contributes to the growth and prosperity of Canadian small and-medium sized enterprises (SMEs) by stimulating innovation, adoption and/or commercialization of technology-based products, services, or processes in Canada. This is done through: 1) technical and related business advice and networking facilitated by a cross-Canada network of field professional staff; 2) cost-shared merit-based contributions; and 3) contributions supporting employment of post-secondary graduates. This Program uses funding from the following transfer payments: Contributions to Firms; Contributions to Organizations; and Youth Employment Program (YEP).

NRC IRAP supports the placement of graduates in SMEs through its participation in the delivery of YEP sponsored by Employment and Social Development Canada's Youth Employment Strategy (YES).

Recipients are not required to repay funds obtained under this transfer payment program.","Stimulation of innovation in small and medium-sized enterprises (SMEs) in Canada.
Increased growth of innovative SMEs and creation of wealth for Canada
See the Main portion of the NRC's Departmental Plan for additional plans pertaining to NRC-IRAP.",2017-2018,Continuation,2022-2023,Industry-related ? For-profit businesses (SMEs) and Non-profit Organizations,"NRC IRAP is a national program managed on a regional basis with over 240 Industrial Technology Advisors (ITAs) located in approximately 100 communities across the country, who provide customized advice to growth oriented technologically innovative small and medium-sized enterprises (SMEs). ITAs are engaged with client SMEs throughout the entire contribution management process, from building project proposals through to project completion.

At the end of their funded project, recipients are required to complete an online Post-Project Report. This assessment captures information on the recipient's experience with NRC IRAP and, along with published service standards, is used by the program to develop continuous program improvements.

NRC IRAP has an Advisory Board composed of 10 to 12 members from the industry sector and industry associations. This Board provides advice to NRC IRAP management and brings an external perspective on the strategic directions and management of the program.

NRC IRAP is actively engaged with Treasury Board Secretariat Grants and Contributions Reform. Participation in workshops and constant alignment with recent Treasury Board Secretariat policy and guidelines has enabled the program to steadily move toward principles such as a Recipient Engagement Strategy.",
National Research Council of Canada,228,Industrial Research Assistance Program - Contributions to Youth Employment Strategy,01/04/2013,Ongoing,Contribution,Voted appropriation annually through Estimates,2018-2019,"The Program contributes to the growth and prosperity of Canadian small and-medium sized enterprises (SMEs) by stimulating innovation, adoption and/or commercialization of technology-based products, services, or processes in Canada. This is done through: 1) technical and related business advice and networking facilitated by a cross-Canada network of field professional staff; 2) cost-shared merit-based contributions; and 3) contributions supporting employment of post-secondary graduates. This Program uses funding from the following transfer payments: Contributions to Firms; Contributions to Organizations; and Youth Employment Program (YEP).

NRC IRAP supports the placement of graduates in SMEs through its participation in the delivery of YEP sponsored by Employment and Social Development Canada's Youth Employment Strategy (YES).

Recipients are not required to repay funds obtained under this transfer payment program.","Stimulation of innovation in small and medium-sized enterprises (SMEs) in Canada.
Increased growth of innovative SMEs and creation of wealth for Canada
See the Main portion of the NRC's Departmental Plan for additional plans pertaining to NRC-IRAP.",2017-2018,Continuation,2022-2023,Industry-related ? For-profit businesses (SMEs) and Non-profit Organizations,"NRC IRAP is a national program managed on a regional basis with over 240 Industrial Technology Advisors (ITAs) located in approximately 100 communities across the country, who provide customized advice to growth oriented technologically innovative small and medium-sized enterprises (SMEs). ITAs are engaged with client SMEs throughout the entire contribution management process, from building project proposals through to project completion.

At the end of their funded project, recipients are required to complete an online Post-Project Report. This assessment captures information on the recipient's experience with NRC IRAP and, along with published service standards, is used by the program to develop continuous program improvements.

NRC IRAP has an Advisory Board composed of 10 to 12 members from the industry sector and industry associations. This Board provides advice to NRC IRAP management and brings an external perspective on the strategic directions and management of the program.

NRC IRAP is actively engaged with Treasury Board Secretariat Grants and Contributions Reform. Participation in workshops and constant alignment with recent Treasury Board Secretariat policy and guidelines has enabled the program to steadily move toward principles such as a Recipient Engagement Strategy.",
